frame,dt,N,areaSigned,areaAbs,targetArea,areaErr,perim,minEdge,maxEdge,avgEdge,flipped,selfIntersect,grabbed,dragInside,iters,areaStiff,edgeStiff,diagStiff,maxCorr,damping
49,0.016802,20,31179.533203,31179.533203,38276.382812,7096.849609,628.544495,31.427107,31.427359,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
50,0.016667,20,31179.541016,31179.541016,38276.382812,7096.841797,628.544556,31.427107,31.427359,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
51,0.016667,20,31179.548828,31179.548828,38276.382812,7096.833984,628.544556,31.427107,31.427359,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
52,0.016667,20,31179.552734,31179.552734,38276.382812,7096.830078,628.544678,31.427086,31.427359,31.427235,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
53,0.016667,20,31179.560547,31179.560547,38276.382812,7096.822266,628.544800,31.427086,31.427366,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
54,0.016667,20,31179.564453,31179.564453,38276.382812,7096.818359,628.544800,31.427118,31.427359,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
55,0.016667,20,31179.566406,31179.566406,38276.382812,7096.816406,628.544800,31.427118,31.427374,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
56,0.016667,20,31179.568359,31179.568359,38276.382812,7096.814453,628.544861,31.427151,31.427395,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
57,0.016667,20,31179.570312,31179.570312,38276.382812,7096.812500,628.544861,31.427135,31.427414,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
58,0.016667,20,31179.574219,31179.574219,38276.382812,7096.808594,628.544922,31.427135,31.427431,31.427246,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
