frame,mode,viseme,open,openT,wide,wideT,round,roundT,smile,smileT,width,height,area,areaT,fill,teeth
159,blob,B,0.2291,0.1000,0.4353,0.3000,0.0232,0.0000,0.7194,0.6500,117.55,26.88,27062.72,2875.13,1,0
161,blob,A,0.2406,0.8500,0.4306,0.5500,0.0240,0.1000,0.7126,0.6500,117.21,27.59,26083.79,2911.83,1,0
163,blob,A,0.2674,0.8500,0.4314,0.5500,0.0269,0.1000,0.7063,0.6500,117.25,29.51,25499.92,2968.21,1,0
165,blob,B,0.2845,0.1000,0.4295,0.3000,0.0287,0.0000,0.7005,0.6500,117.09,30.69,24908.32,3035.26,1,0
167,blob,B,0.2896,0.1000,0.4241,0.3000,0.0289,0.0000,0.6951,0.6500,116.69,30.94,24220.73,3093.18,1,0
169,blob,B,0.2868,0.1000,0.4167,0.3000,0.0281,0.0000,0.6903,0.6500,116.14,30.59,23557.59,3133.41,1,0
171,blob,G,0.2790,0.1000,0.4083,0.3000,0.0267,0.0000,0.6859,0.6500,115.50,29.86,23043.81,3153.83,1,0
173,blob,G,0.2683,0.1000,0.3994,0.3000,0.0249,0.0000,0.6819,0.6500,114.84,28.91,22764.60,3155.69,1,0
175,blob,G,0.2561,0.1000,0.3906,0.3000,0.0230,0.0000,0.6784,0.6500,114.18,27.87,22772.98,3141.88,1,0
177,blob,G,0.2433,0.1000,0.3820,0.3000,0.0210,0.0000,0.6752,0.6500,113.53,26.79,23093.16,3115.76,1,0
179,blob,C,0.2417,0.5500,0.3801,0.5500,0.0203,0.0500,0.6736,0.7000,113.28,26.66,23699.30,3090.57,1,0
181,blob,C,0.2505,0.5500,0.3843,0.5500,0.0209,0.0500,0.6734,0.7000,113.44,27.42,24398.57,3080.71,1,0
183,blob,C,0.2657,0.5500,0.3923,0.5500,0.0221,0.0500,0.6741,0.7000,113.87,28.70,24905.77,3091.05,1,0
185,blob,C,0.2845,0.5500,0.4025,0.5500,0.0238,0.0500,0.6754,0.7000,114.47,30.29,24982.50,3121.27,1,0
187,blob,C,0.3051,0.5500,0.4137,0.5500,0.0257,0.0500,0.6770,0.7000,115.16,32.03,24493.78,3168.54,1,0
189,blob,C,0.3260,0.5500,0.4252,0.5500,0.0277,0.0500,0.6788,0.7000,115.89,33.81,23417.40,3229.03,1,0
191,blob,C,0.3466,0.5500,0.4365,0.5500,0.0297,0.0500,0.6806,0.7000,116.61,35.56,21827.06,3298.83,1,0
193,blob,C,0.3662,0.5500,0.4474,0.5500,0.0316,0.0500,0.6824,0.7000,117.32,37.25,19851.72,3374.37,0,0
195,blob,A,0.3873,0.8500,0.4577,0.5500,0.0339,0.1000,0.6836,0.6500,118.01,39.02,17622.79,3454.49,0,0
197,blob,A,0.4156,0.8500,0.4672,0.5500,0.0375,0.1000,0.6834,0.6500,118.72,41.27,15173.36,3546.58,0,0
199,blob,A,0.4476,0.8500,0.4759,0.5500,0.0417,0.1000,0.6821,0.6500,119.39,43.78,12393.40,3653.06,0,0
201,blob,C,0.4734,0.5500,0.4839,0.5500,0.0451,0.0500,0.6816,0.7000,119.90,45.89,9023.95,3765.64,1,0
203,blob,C,0.4924,0.5500,0.4911,0.5500,0.0474,0.0500,0.6818,0.7000,120.32,47.50,4171.54,3873.13,1,1
205,blob,H,0.4952,0.1000,0.4913,0.3000,0.0477,0.0000,0.6813,0.6500,120.34,47.71,380.83,3959.97,1,1
207,blob,H,0.4844,0.1000,0.4854,0.3000,0.0464,0.0000,0.6799,0.6500,119.97,46.76,244.10,4012.43,1,1
209,blob,H,0.4653,0.1000,0.4757,0.3000,0.0441,0.0000,0.6781,0.6500,119.34,45.10,230.70,4027.95,1,1
211,blob,H,0.4413,0.1000,0.4639,0.3000,0.0412,0.0000,0.6761,0.6500,118.54,43.06,203.74,4009.77,1,1
213,blob,C,0.4263,0.5500,0.4573,0.5500,0.0392,0.0500,0.6752,0.7000,118.02,41.85,203.69,3973.73,1,1
215,blob,C,0.4206,0.5500,0.4560,0.5500,0.0384,0.0500,0.6754,0.7000,117.83,41.46,312.42,3937.94,1,1
217,blob,C,0.4211,0.5500,0.4582,0.5500,0.0382,0.0500,0.6763,0.7000,117.89,41.60,242.44,3911.03,1,1
219,blob,C,0.4255,0.5500,0.4626,0.5500,0.0384,0.0500,0.6776,0.7000,118.10,42.06,127.66,3896.14,1,1
221,blob,C,0.4323,0.5500,0.4681,0.5500,0.0389,0.0500,0.6792,0.7000,118.42,42.72,267.79,3893.39,1,1
223,blob,C,0.4404,0.5500,0.4743,0.5500,0.0396,0.0500,0.6809,0.7000,118.80,43.48,309.83,3901.34,1,1
225,blob,C,0.4491,0.5500,0.4807,0.5500,0.0404,0.0500,0.6826,0.7000,119.20,44.29,0.75,3917.98,1,1
227,blob,C,0.4579,0.5500,0.4870,0.5500,0.0412,0.0500,0.6842,0.7000,119.60,45.09,139.28,3941.13,1,1
229,blob,A,0.4691,0.8500,0.4930,0.5500,0.0424,0.1000,0.6853,0.6500,120.03,46.05,32.30,3970.66,1,1
231,blob,A,0.4885,0.8500,0.4987,0.5500,0.0451,0.1000,0.6849,0.6500,120.51,47.56,66.03,4014.70,1,1
233,blob,A,0.5124,0.8500,0.5039,0.5500,0.0485,0.1000,0.6835,0.6500,120.98,49.40,258.48,4076.12,1,1
235,blob,A,0.5385,0.8500,0.5088,0.5500,0.0524,0.1000,0.6815,0.6500,121.39,51.41,203.73,4153.62,1,1
237,blob,A,0.5651,0.8500,0.5132,0.5500,0.0563,0.1000,0.6793,0.6500,121.77,53.45,51.45,4243.95,1,1
239,blob,A,0.5913,0.8500,0.5172,0.5500,0.0603,0.1000,0.6769,0.6500,122.09,55.46,341.03,4343.27,1,1
241,blob,C,0.6136,0.5500,0.5208,0.5500,0.0636,0.0500,0.6750,0.7000,122.35,57.20,63.09,4445.96,1,1
243,blob,C,0.6258,0.5500,0.5241,0.5500,0.0653,0.0500,0.6745,0.7000,122.50,58.25,274.12,4538.75,1,1
245,blob,C,0.6313,0.5500,0.5270,0.5500,0.0659,0.0500,0.6751,0.7000,122.62,58.79,115.87,4614.61,1,1
247,blob,C,0.6321,0.5500,0.5296,0.5500,0.0658,0.0500,0.6762,0.7000,122.74,58.97,346.48,4671.70,1,1
249,blob,C,0.6301,0.5500,0.5319,0.5500,0.0652,0.0500,0.6777,0.7000,122.85,58.91,27.29,4710.95,1,1
251,blob,C,0.6262,0.5500,0.5339,0.5500,0.0644,0.0500,0.6793,0.7000,122.97,58.68,326.34,4734.66,1,1
253,blob,C,0.6213,0.5500,0.5358,0.5500,0.0634,0.0500,0.6811,0.7000,123.09,58.35,72.48,4745.57,1,1
255,blob,C,0.6159,0.5500,0.5374,0.5500,0.0623,0.0500,0.6828,0.7000,123.21,57.98,340.44,4746.46,1,1
257,blob,C,0.6103,0.5500,0.5388,0.5500,0.0612,0.0500,0.6844,0.7000,123.32,57.57,40.63,4739.81,1,1
259,blob,C,0.6048,0.5500,0.5401,0.5500,0.0602,0.0500,0.6860,0.7000,123.43,57.17,354.91,4727.77,1,1
261,blob,C,0.5996,0.5500,0.5412,0.5500,0.0592,0.0500,0.6874,0.7000,123.54,56.77,15.56,4712.10,1,1
263,blob,C,0.5946,0.5500,0.5422,0.5500,0.0582,0.0500,0.6887,0.7000,123.64,56.39,323.55,4694.21,1,1
265,blob,C,0.5900,0.5500,0.5431,0.5500,0.0574,0.0500,0.6899,0.7000,123.74,56.04,60.53,4675.16,1,1
267,blob,C,0.5858,0.5500,0.5439,0.5500,0.0566,0.0500,0.6910,0.7000,123.83,55.71,320.12,4655.78,1,1
269,blob,H,0.5708,0.1000,0.5384,0.3000,0.0546,0.0000,0.6908,0.6500,123.58,54.35,6.07,4626.56,1,1
271,blob,H,0.5462,0.1000,0.5273,0.3000,0.0516,0.0000,0.6893,0.6500,122.97,52.14,342.58,4576.27,1,1
273,blob,H,0.5161,0.1000,0.5129,0.3000,0.0481,0.0000,0.6871,0.6500,122.13,49.49,162.87,4502.80,1,1
275,blob,H,0.4837,0.1000,0.4969,0.3000,0.0443,0.0000,0.6845,0.6500,121.14,46.65,360.25,4408.73,1,1
277,blob,B,0.4506,0.1000,0.4804,0.3000,0.0404,0.0000,0.6818,0.6500,120.10,43.80,258.20,4298.64,1,1
279,blob,B,0.4183,0.1000,0.4641,0.3000,0.0367,0.0000,0.6790,0.6500,119.04,41.03,8.54,4177.63,1,1
281,blob,B,0.3874,0.1000,0.4484,0.3000,0.0331,0.0000,0.6763,0.6500,118.01,38.42,357.66,4050.49,1,1
283,blob,B,0.3585,0.1000,0.4336,0.3000,0.0297,0.0000,0.6737,0.6500,117.02,35.99,34.11,3921.33,1,1
285,blob,B,0.3317,0.1000,0.4199,0.3000,0.0266,0.0000,0.6713,0.6500,116.10,33.76,306.15,3793.46,1,1
287,blob,B,0.3072,0.1000,0.4073,0.3000,0.0238,0.0000,0.6691,0.6500,115.24,31.73,8.30,3669.39,1,1
289,blob,B,0.2849,0.1000,0.3958,0.3000,0.0212,0.0000,0.6671,0.6500,114.45,29.89,298.09,3550.92,1,1
291,blob,B,0.2647,0.1000,0.3853,0.3000,0.0189,0.0000,0.6652,0.6500,113.74,28.23,256.82,3439.25,1,1
